"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.717820000E0,-7.165149994E0,-6.437662811E0,-3.844305725E0,1.037118910E1
1.727861000E0,-8.010591888E0,-7.004384308E0,-2.484383698E0,1.092717458E1
1.737902000E0,-8.798703003E0,-7.065606995E0,-1.611399078E0,1.139897292E1
1.747943000E0,-8.552315369E0,-7.052434387E0,-1.670825500E0,1.121028933E1
1.757983000E0,-7.736062775E0,-7.010371857E0,-2.437231750E0,1.072063801E1
1.768024000E0,-6.323300629E0,-7.081174622E0,-3.690575409E0,1.018565225E1
1.778065000E0,-6.184838562E0,-7.083419952E0,-4.558021545E0,1.045000606E1
1.788106000E0,-6.474935303E0,-7.122937775E0,-4.296814728E0,1.054152012E1
1.798147000E0,-6.728657684E0,-7.335944824E0,-3.447780304E0,1.053461483E1
1.808188000E0,-7.381001129E0,-7.437882843E0,-2.779120789E0,1.084088517E1
1.818229000E0,-8.307723999E0,-7.556286621E0,-2.519261169E0,1.150923205E1
1.828270000E0,-8.256380768E0,-7.453749847E0,-2.837050323E0,1.147933207E1
1.838311000E0,-7.597301331E0,-7.435188446E0,-3.344794464E0,1.114399680E1
1.848352000E0,-7.442672882E0,-7.288942566E0,-3.933669891E0,1.113534113E1
1.858393375E0,-7.441175995E0,-6.690636749E0,-4.955295410E0,1.116649779E1
1.868434375E0,-7.239844666E0,-6.295608215E0,-6.151158600E0,1.139678839E1
1.878475375E0,-6.456523590E0,-5.155429230E0,-7.047045593E0,1.085937379E1
1.888516375E0,-8.294401703E0,-5.940097504E0,-4.341421967E0,1.108737131E1
1.898556375E0,-1.007659561E1,-8.046217804E0,-2.117197266E0,1.306759061E1
1.908597375E0,-7.241491241E0,-7.342680817E0,-8.825646973E-1,1.035051097E1
1.918638375E0,-5.655838623E0,-5.228327637E0,-1.206042023E0,7.796053987E0
1.928679375E0,-5.846242676E0,-5.930517426E0,-3.828887787E0,9.165695393E0
1.938720375E0,-6.171516266E0,-5.420977020E0,-2.222578125E0,8.509668524E0
1.948761375E0,-6.965614929E0,-4.300856323E0,-1.899998932E0,8.403996216E0
1.958802375E0,-6.515500946E0,-4.064647522E0,-2.440075836E0,8.057734306E0
1.968843375E0,-6.574178925E0,-4.260590057E0,-4.007466431E0,8.799559271E0
1.978884375E0,-6.124514008E0,-4.720284119E0,-5.455555115E0,9.463288836E0
1.988925375E0,-5.737119598E0,-3.501967621E0,-2.653981018E0,7.226474503E0
1.998966375E0,-5.450316010E0,-2.509082336E0,-1.514251099E0,6.188246534E0
2.009007375E0,4.007167053E-1,2.116598511E0,-2.874023438E-1,2.173283976E0
2.019048375E0,2.723286896E0,-4.005370789E0,-6.017187195E0,7.724365890E0
2.029089375E0,-1.338187225E1,-1.217253708E1,-6.660100250E0,1.927698367E1
2.039130375E0,-1.266665955E1,-4.164190521E0,-3.242257690E-1,1.333753610E1
2.049170375E0,-9.386829987E0,-4.548740845E0,-2.097588043E0,1.063971316E1
2.059211375E0,-6.286177826E0,-8.048313446E0,-4.127516785E0,1.101488882E1
2.069252375E0,-6.406677246E0,-6.847809906E0,-5.792803802E0,1.102245843E1
2.079293375E0,-9.031918030E0,-5.970035248E0,-6.812633057E0,1.279174864E1
2.089334375E0,-8.526868286E0,-5.866600342E0,-7.032376099E0,1.251314493E1
2.099375375E0,-5.926026764E0,-5.616171112E0,-5.370082855E0,9.772254655E0
2.109416375E0,-6.044729919E0,-4.994513855E0,-4.201163635E0,8.895712694E0
2.119457375E0,-3.137774963E0,-5.395679626E0,-6.583759003E0,9.072203313E0
2.129498375E0,-5.731581116E0,-7.380552063E0,-6.489455109E0,1.137702063E1
2.139539375E0,-7.469916229E0,-6.971452789E0,-3.828139343E0,1.091125352E1
2.149580375E0,-7.781418457E0,-6.172863464E0,-2.280058594E0,1.019084804E1
2.159621375E0,-7.104076996E0,-5.561385040E0,-3.038681030E0,9.520005038E0
2.169662375E0,-6.604116669E0,-5.600304108E0,-5.617518311E0,1.032154422E1
2.179702375E0,-6.060297546E0,-4.967270508E0,-5.348078613E0,9.486987272E0
2.189743375E0,-5.365891571E0,-5.337301025E0,-4.518054657E0,8.814328816E0
2.199784375E0,-5.467230835E0,-5.264552307E0,-5.428910522E0,9.331623302E0
2.209825375E0,-5.683081970E0,-5.249284058E0,-6.355932770E0,1.001250644E1
2.219866375E0,-6.348298645E0,-5.204826508E0,-5.282514954E0,9.761971056E0
2.229907375E0,-7.135511627E0,-4.982239380E0,-3.503165131E0,9.381385897E0
2.239948375E0,-6.547384644E0,-4.895719299E0,-3.541186066E0,8.909338465E0
2.249989375E0,-5.912554779E0,-5.387297058E0,-3.990701294E0,8.939069886E0
2.260030375E0,-6.673572235E0,-6.124364319E0,-3.919000397E0,9.869294240E0
2.270071375E0,-7.536827087E0,-6.675368500E0,-4.384532318E0,1.098127637E1
2.280112375E0,-7.559729462E0,-6.466852112E0,-4.723577271E0,1.101280473E1
2.290153375E0,-6.083798676E0,-5.883066101E0,-5.120252380E0,9.891413322E0
2.300194375E0,-6.750212860E0,-6.308032379E0,-5.628146210E0,1.081816417E1
2.310235375E0,-6.649472351E0,-5.890849915E0,-5.266947327E0,1.032755196E1
2.320275375E0,-6.390959930E0,-5.475912781E0,-5.877078552E0,1.026499108E1
2.330316375E0,-5.516478424E0,-4.810546417E0,-6.831044769E0,1.001179623E1
2.340357375E0,-5.229225769E0,-5.419929199E0,-5.541775818E0,9.350492708E0
2.350398375E0,-6.810537415E0,-6.666387177E0,-4.357139282E0,1.047896944E1
2.360439375E0,-6.958130493E0,-6.140979767E0,-4.952002258E0,1.051900845E1
2.370480375E0,-7.637417908E0,-6.521189117E0,-5.949228516E0,1.167259096E1
2.380521375E0,-6.861281891E0,-6.370302887E0,-5.914351044E0,1.107418152E1
2.390562375E0,-6.703360291E0,-6.076613617E0,-5.675447845E0,1.068040170E1
2.400603375E0,-6.487958221E0,-5.642815704E0,-6.147416382E0,1.057003780E1
2.410644375E0,-6.391109619E0,-5.477259979E0,-6.134842529E0,1.041551496E1
